region_id,year,pressure_score
BHI-014,2012,0.54
BHI-014,2013,0.44
BHI-014,2014,0.4
BHI-014,2015,0.35
BHI-014,2016,0.23
BHI-014,2017,0.21
BHI-013,1997,0.8
BHI-013,1998,0.87
BHI-013,1999,0.93
BHI-013,2000,0.84
BHI-013,2001,0.75
BHI-013,2002,0.69
BHI-013,2003,0.58
BHI-013,2004,0.51
BHI-013,2005,0.39
BHI-013,2006,0.44
BHI-013,2007,0.43
BHI-013,2008,0.42
BHI-013,2009,0.42
BHI-013,2010,0.53
BHI-013,2011,0.61
BHI-013,2012,0.54
BHI-013,2013,0.44
BHI-013,2014,0.4
BHI-013,2015,0.35
BHI-013,2016,0.23
BHI-013,2017,0.21
BHI-012,1997,0.8
BHI-012,1998,0.87
BHI-012,1999,0.93
BHI-012,2000,0.84
BHI-012,2001,0.75
BHI-012,2002,0.69
BHI-012,2003,0.58
BHI-012,2004,0.51
BHI-012,2005,0.39
BHI-012,2006,0.44
BHI-012,2007,0.43
BHI-012,2008,0.42
BHI-012,2009,0.42
BHI-012,2010,0.53
BHI-012,2011,0.61
BHI-012,2012,0.54
BHI-012,2013,0.44
BHI-012,2014,0.4
BHI-012,2015,0.35
BHI-012,2016,0.23
BHI-012,2017,0.21
BHI-011,1997,0.8
BHI-011,1998,0.87
BHI-011,1999,0.93
BHI-011,2000,0.84
BHI-011,2001,0.75
BHI-011,2002,0.69
BHI-011,2003,0.58
BHI-011,2004,0.51
BHI-011,2005,0.39
BHI-011,2006,0.44
BHI-011,2007,0.43
BHI-011,2008,0.42
BHI-011,2009,0.42
BHI-011,2010,0.53
BHI-011,2011,0.61
BHI-011,2012,0.54
BHI-011,2013,0.44
BHI-011,2014,0.4
BHI-011,2015,0.35
BHI-011,2016,0.23
BHI-011,2017,0.21
BHI-010,1997,0.13
BHI-010,1998,0
BHI-010,1999,0.22
BHI-010,2000,0.35
BHI-010,2001,0
BHI-010,2002,0.06
BHI-010,2003,0
BHI-010,2004,0
BHI-010,2005,0
BHI-010,2006,0
BHI-010,2007,0
BHI-010,2008,0
BHI-010,2009,0
BHI-010,2010,0
BHI-010,2011,0
BHI-010,2012,0
BHI-010,2013,0
BHI-010,2014,0
BHI-010,2015,0
BHI-010,2016,0
BHI-010,2017,0
BHI-009,1997,0.13
BHI-009,1998,0
BHI-009,1999,0.22
BHI-009,2000,0.35
BHI-009,2001,0
BHI-009,2002,0.06
BHI-009,2003,0
BHI-009,2004,0
BHI-009,2005,0
BHI-009,2006,0
BHI-009,2007,0
BHI-009,2008,0
BHI-009,2009,0
BHI-009,2010,0
BHI-009,2011,0
BHI-009,2012,0
BHI-009,2013,0
BHI-009,2014,0
BHI-009,2015,0
BHI-009,2016,0
BHI-009,2017,0
BHI-008,1997,0.13
BHI-008,1998,0
BHI-008,1999,0.22
BHI-008,2000,0.35
BHI-008,2001,0
BHI-008,2002,0.06
BHI-008,2003,0
BHI-008,2004,0
BHI-008,2005,0
BHI-008,2006,0
BHI-008,2007,0
BHI-008,2008,0
BHI-008,2009,0
BHI-008,2010,0
BHI-008,2011,0
BHI-008,2012,0
BHI-008,2013,0
BHI-008,2014,0
BHI-008,2015,0
BHI-008,2016,0
BHI-008,2017,0
BHI-007,1997,0.13
BHI-007,1998,0
BHI-007,1999,0.22
BHI-007,2000,0.35
BHI-007,2001,0
BHI-007,2002,0.06
