"region_id","year","surf_temp_pressure"
"BHI-037",2007,0.26
"BHI-038",2007,0.26
"BHI-039",2007,0.5
"BHI-040",2007,0.5
"BHI-041",2007,0.58
"BHI-042",2007,0.58
"BHI-043",2007,0.38
"BHI-001",2008,0.35
"BHI-002",2008,0.35
"BHI-003",2008,0.38
"BHI-005",2008,0.39
"BHI-006",2008,0.39
"BHI-007",2008,0.3
"BHI-008",2008,0.3
"BHI-009",2008,0.43
"BHI-010",2008,0.43
"BHI-011",2008,0.46
"BHI-012",2008,0.46
"BHI-013",2008,0.46
"BHI-014",2008,0.22
"BHI-015",2008,0.22
"BHI-016",2008,0.22
"BHI-017",2008,0.22
"BHI-018",2008,0.35
"BHI-019",2008,0.35
"BHI-020",2008,0.13
"BHI-021",2008,0.13
"BHI-022",2008,0.13
"BHI-023",2008,0.13
"BHI-024",2008,0.13
"BHI-025",2008,0.13
"BHI-026",2008,0.11
"BHI-027",2008,0.42
"BHI-028",2008,0.42
"BHI-029",2008,0.13
"BHI-030",2008,0.13
"BHI-031",2008,0.13
"BHI-032",2008,0.27
"BHI-033",2008,0.27
"BHI-034",2008,0.27
"BHI-035",2008,0.45
"BHI-036",2008,0.45
"BHI-037",2008,0.27
"BHI-038",2008,0.27
"BHI-039",2008,0.5
"BHI-040",2008,0.5
"BHI-041",2008,0.56
"BHI-042",2008,0.56
"BHI-043",2008,0.37
"BHI-001",2009,0.36
"BHI-002",2009,0.36
"BHI-003",2009,0.38
"BHI-005",2009,0.39
"BHI-006",2009,0.39
"BHI-007",2009,0.33
"BHI-008",2009,0.33
"BHI-009",2009,0.45
"BHI-010",2009,0.45
"BHI-011",2009,0.49
"BHI-012",2009,0.49
"BHI-013",2009,0.49
"BHI-014",2009,0.23
"BHI-015",2009,0.23
"BHI-016",2009,0.23
"BHI-017",2009,0.23
"BHI-018",2009,0.42
"BHI-019",2009,0.42
"BHI-020",2009,0.13
"BHI-021",2009,0.13
"BHI-022",2009,0.13
"BHI-023",2009,0.13
"BHI-024",2009,0.13
"BHI-025",2009,0.13
"BHI-026",2009,0.1
"BHI-027",2009,0.45
"BHI-028",2009,0.45
"BHI-029",2009,0.11
"BHI-030",2009,0.11
"BHI-031",2009,0.11
"BHI-032",2009,0.26
"BHI-033",2009,0.26
"BHI-034",2009,0.26
"BHI-035",2009,0.45
"BHI-036",2009,0.45
"BHI-037",2009,0.29
"BHI-038",2009,0.29
"BHI-039",2009,0.51
"BHI-040",2009,0.51
"BHI-041",2009,0.57
"BHI-042",2009,0.57
"BHI-043",2009,0.39
"BHI-001",2010,0.36
"BHI-002",2010,0.36
"BHI-003",2010,0.37
"BHI-005",2010,0.41
"BHI-006",2010,0.41
"BHI-007",2010,0.33
"BHI-008",2010,0.33
"BHI-009",2010,0.47
"BHI-010",2010,0.47
"BHI-011",2010,0.47
"BHI-012",2010,0.47
"BHI-013",2010,0.47
"BHI-014",2010,0.2
"BHI-015",2010,0.2
"BHI-016",2010,0.2
"BHI-017",2010,0.2
"BHI-018",2010,0.5
"BHI-019",2010,0.5
"BHI-020",2010,0.18
"BHI-021",2010,0.18
"BHI-022",2010,0.18
"BHI-023",2010,0.18
"BHI-024",2010,0.18
"BHI-025",2010,0.18
"BHI-026",2010,0.13
"BHI-027",2010,0.43
"BHI-028",2010,0.43
"BHI-029",2010,0.12
"BHI-030",2010,0.12
"BHI-031",2010,0.12
"BHI-032",2010,0.29
"BHI-033",2010,0.29
"BHI-034",2010,0.29
"BHI-035",2010,0.45
"BHI-036",2010,0.45
"BHI-037",2010,0.35
