region_id,year,pressure_score
BHI-008,2007,0.09
BHI-008,2008,0.13
BHI-008,2009,0
BHI-008,2010,0
BHI-008,2011,0
BHI-008,2012,0
BHI-008,2013,0
BHI-008,2014,0
BHI-008,2015,0
BHI-008,2016,0
BHI-008,2017,0
BHI-007,1997,0.03
BHI-007,1998,0.11
BHI-007,1999,0.43
BHI-007,2000,0.65
BHI-007,2001,0.32
BHI-007,2002,0.32
BHI-007,2003,0.04
BHI-007,2004,0.07
BHI-007,2005,0
BHI-007,2006,0
BHI-007,2007,0.09
BHI-007,2008,0.13
BHI-007,2009,0
BHI-007,2010,0
BHI-007,2011,0
BHI-007,2012,0
BHI-007,2013,0
BHI-007,2014,0
BHI-007,2015,0
BHI-007,2016,0
BHI-007,2017,0
BHI-006,1997,0.02
BHI-006,1998,0.07
BHI-006,1999,0.51
BHI-006,2000,0.83
BHI-006,2001,0.78
BHI-006,2002,0.59
BHI-006,2003,0.24
BHI-006,2004,0.13
BHI-006,2005,0
BHI-006,2006,0.16
BHI-006,2007,0.25
BHI-006,2008,0.39
BHI-006,2009,0.18
BHI-006,2010,0
BHI-006,2011,0
BHI-006,2012,0
BHI-006,2013,0
BHI-006,2014,0
BHI-006,2015,0
BHI-006,2016,0
BHI-006,2017,0
BHI-005,1997,0.02
BHI-005,1998,0.07
BHI-005,1999,0.51
BHI-005,2000,0.83
BHI-005,2001,0.78
BHI-005,2002,0.59
BHI-005,2003,0.24
BHI-005,2004,0.13
BHI-005,2005,0
BHI-005,2006,0.16
BHI-005,2007,0.25
BHI-005,2008,0.39
BHI-005,2009,0.18
BHI-005,2010,0
BHI-005,2011,0
BHI-005,2012,0
BHI-005,2013,0
BHI-005,2014,0
BHI-005,2015,0
BHI-005,2016,0
BHI-005,2017,0
BHI-004,1997,0.03
BHI-004,1998,0.11
BHI-004,1999,0.43
BHI-004,2000,0.65
BHI-004,2001,0.32
BHI-004,2002,0.32
BHI-004,2003,0.04
BHI-004,2004,0.07
BHI-004,2005,0
BHI-004,2006,0
BHI-004,2007,0.09
BHI-004,2008,0.13
BHI-004,2009,0
BHI-004,2010,0
BHI-004,2011,0
BHI-004,2012,0
BHI-004,2013,0
BHI-004,2014,0
BHI-004,2015,0
BHI-004,2016,0
BHI-004,2017,0
BHI-003,1997,0.03
BHI-003,1998,0.11
BHI-003,1999,0.43
BHI-003,2000,0.65
BHI-003,2001,0.32
BHI-003,2002,0.32
BHI-003,2003,0.04
BHI-003,2004,0.07
BHI-003,2005,0
BHI-003,2006,0
BHI-003,2007,0.09
BHI-003,2008,0.13
BHI-003,2009,0
BHI-003,2010,0
BHI-003,2011,0
BHI-003,2012,0
BHI-003,2013,0
BHI-003,2014,0
BHI-003,2015,0
BHI-003,2016,0
BHI-003,2017,0
BHI-002,1997,0.02
BHI-002,1998,0.07
BHI-002,1999,0.51
BHI-002,2000,0.83
BHI-002,2001,0.78
BHI-002,2002,0.59
BHI-002,2003,0.24
BHI-002,2004,0.13
BHI-002,2005,0
BHI-002,2006,0.16
BHI-002,2007,0.25
BHI-002,2008,0.39
BHI-002,2009,0.18
BHI-002,2010,0
BHI-002,2011,0
BHI-002,2012,0
BHI-002,2013,0
BHI-002,2014,0
BHI-002,2015,0
BHI-002,2016,0
BHI-002,2017,0
BHI-001,1997,0.02
BHI-001,1998,0.07
BHI-001,1999,0.51
BHI-001,2000,0.83
BHI-001,2001,0.78
BHI-001,2002,0.59
BHI-001,2003,0.24
BHI-001,2004,0.13
BHI-001,2005,0
BHI-001,2006,0.16
BHI-001,2007,0.25
BHI-001,2008,0.39
BHI-001,2009,0.18
BHI-001,2010,0
BHI-001,2011,0
BHI-001,2012,0
BHI-001,2013,0
BHI-001,2014,0
BHI-001,2015,0
BHI-001,2016,0
BHI-001,2017,0
