"region_id","year","surf_sal_pressure"
"BHI-019",2010,0.66
"BHI-020",2010,0.22
"BHI-021",2010,0.22
"BHI-022",2010,0.22
"BHI-023",2010,0.22
"BHI-024",2010,0.22
"BHI-025",2010,0.22
"BHI-026",2010,0.16
"BHI-027",2010,0.51
"BHI-028",2010,0.51
"BHI-029",2010,0.16
"BHI-030",2010,0.16
"BHI-031",2010,0.16
"BHI-032",2010,0.68
"BHI-033",2010,0.68
"BHI-034",2010,0.68
"BHI-035",2010,0.27
"BHI-036",2010,0.27
"BHI-037",2010,0.33
"BHI-038",2010,0.33
"BHI-039",2010,1
"BHI-040",2010,1
"BHI-041",2010,0.69
"BHI-042",2010,0.69
"BHI-043",2010,0.32
"BHI-001",2011,0.44
"BHI-002",2011,0.44
"BHI-003",2011,0.19
"BHI-005",2011,0.24
"BHI-006",2011,0.24
"BHI-007",2011,0.15
"BHI-008",2011,0.15
"BHI-009",2011,0.15
"BHI-010",2011,0.15
"BHI-011",2011,0.19
"BHI-012",2011,0.19
"BHI-013",2011,0.19
"BHI-014",2011,0.4
"BHI-015",2011,0.4
"BHI-016",2011,0.4
"BHI-017",2011,0.4
"BHI-018",2011,0.78
"BHI-019",2011,0.78
"BHI-020",2011,0.27
"BHI-021",2011,0.27
"BHI-022",2011,0.27
"BHI-023",2011,0.27
"BHI-024",2011,0.27
"BHI-025",2011,0.27
"BHI-026",2011,0.21
"BHI-027",2011,0.6
"BHI-028",2011,0.6
"BHI-029",2011,0.18
"BHI-030",2011,0.18
"BHI-031",2011,0.18
"BHI-032",2011,0.66
"BHI-033",2011,0.66
"BHI-034",2011,0.66
"BHI-035",2011,0.26
"BHI-036",2011,0.26
"BHI-037",2011,0.32
"BHI-038",2011,0.32
"BHI-039",2011,1
"BHI-040",2011,1
"BHI-041",2011,0.64
"BHI-042",2011,0.64
"BHI-043",2011,0.3
"BHI-001",2012,0.42
"BHI-002",2012,0.42
"BHI-003",2012,0.2
"BHI-005",2012,0.2
"BHI-006",2012,0.2
"BHI-007",2012,0.15
"BHI-008",2012,0.15
"BHI-009",2012,0.15
"BHI-010",2012,0.15
"BHI-011",2012,0.22
"BHI-012",2012,0.22
"BHI-013",2012,0.22
"BHI-014",2012,0.42
"BHI-015",2012,0.42
"BHI-016",2012,0.42
"BHI-017",2012,0.42
"BHI-018",2012,0.79
"BHI-019",2012,0.79
"BHI-020",2012,0.33
"BHI-021",2012,0.33
"BHI-022",2012,0.33
"BHI-023",2012,0.33
"BHI-024",2012,0.33
"BHI-025",2012,0.33
"BHI-026",2012,0.25
"BHI-027",2012,0.65
"BHI-028",2012,0.65
"BHI-029",2012,0.24
"BHI-030",2012,0.24
"BHI-031",2012,0.24
"BHI-032",2012,0.67
"BHI-033",2012,0.67
"BHI-034",2012,0.67
"BHI-035",2012,0.26
"BHI-036",2012,0.26
"BHI-037",2012,0.31
"BHI-038",2012,0.31
"BHI-039",2012,0.98
"BHI-040",2012,0.98
"BHI-041",2012,0.59
"BHI-042",2012,0.59
"BHI-043",2012,0.31
"BHI-001",2013,0.44
"BHI-002",2013,0.44
"BHI-003",2013,0.19
"BHI-005",2013,0.12
"BHI-006",2013,0.12
"BHI-007",2013,0.15
"BHI-008",2013,0.15
"BHI-009",2013,0.2
"BHI-010",2013,0.2
"BHI-011",2013,0.29
"BHI-012",2013,0.29
"BHI-013",2013,0.29
"BHI-014",2013,0.44
"BHI-015",2013,0.44
"BHI-016",2013,0.44
"BHI-017",2013,0.44
"BHI-018",2013,0.81
"BHI-019",2013,0.81
"BHI-020",2013,0.37
