region_id,month,year,secchi_depth
BHI-001,6,1996,9
BHI-002,6,1996,8
BHI-002,6,1996,8
BHI-032,6,1996,6
BHI-032,6,1996,6
BHI-032,6,1996,5
BHI-032,6,1996,5
BHI-041,6,1996,6
BHI-012,6,1996,8
BHI-012,6,1996,8
BHI-015,6,1996,7
BHI-015,6,1996,7
BHI-017,6,1996,7
BHI-017,6,1996,7
BHI-015,6,1996,6
BHI-015,6,1996,6
BHI-031,6,1996,6
BHI-030,6,1996,6
BHI-034,6,1996,7
BHI-030,6,1996,6
BHI-034,6,1996,7
BHI-030,6,1996,7
BHI-034,6,1996,7
BHI-032,6,1996,8
BHI-034,6,1996,7
BHI-030,6,1996,7
BHI-032,6,1996,6
BHI-032,6,1996,6.5
BHI-032,6,1996,6.5
BHI-032,6,1996,6
BHI-032,6,1996,7
BHI-032,6,1996,6
BHI-032,6,1996,6
BHI-038,6,1996,3
BHI-038,6,1996,3
BHI-038,6,1996,6.5
BHI-024,6,1996,7
BHI-024,6,1996,7
BHI-020,6,1996,6
BHI-020,6,1996,6
BHI-034,6,1996,6
BHI-034,6,1996,6
BHI-034,6,1996,6
BHI-034,6,1996,6
BHI-034,6,1996,6
BHI-032,6,1996,6
BHI-034,6,1996,6
BHI-034,6,1996,4.5
BHI-032,6,1996,6
BHI-032,6,1996,7
BHI-032,6,1996,4.5
BHI-032,6,1996,5
BHI-032,6,1996,6
BHI-032,6,1996,5
BHI-014,6,1996,10
BHI-014,6,1996,10
BHI-026,6,1996,7.5
BHI-026,6,1996,7.5
BHI-026,6,1996,7
BHI-026,6,1996,7
BHI-030,6,1996,6
BHI-032,6,1996,6
BHI-032,6,1996,6
BHI-032,6,1996,6.5
